Key,English,Arabic
"disclaimerPage.sections.serviceDefinition.keyDistinction.title","Key Distinction:","التمييز الرئيسي:"
"disclaimerPage.sections.serviceDefinition.title","2. Service Definition","2. تعريف الخدمة"
"disclaimerPage.sections.serviceDefinition.whatWeAreNot.points","<strong>NOT an Accounting Firm:</strong> We don't provide accounting services or certified audits,<strong>NOT a CPA/Chartered Accountant:</strong> We don't offer professional accounting advice,<strong>NOT a Tax Advisor:</strong> We don't provide tax planning, preparation, or advice,<strong>NOT a Legal Advisor:</strong> We don't offer legal counsel or interpretation of laws,<strong>NOT Financial Advisors:</strong> We don't provide investment or financial planning advice,<strong>NOT Auditors:</strong> We don't perform financial audits or attestation services","<strong>لسنا شركة محاسبة:</strong> لا نقدم خدمات محاسبية أو تدقيقات معتمدة,<strong>لسنا محاسبين قانونيين:</strong> لا نقدم مشورة محاسبية مهنية,<strong>لسنا مستشاري ضرائب:</strong> لا نقدم تخطيط أو إعداد أو مشورة ضريبية,<strong>لسنا مستشارين قانونيين:</strong> لا نقدم استشارات قانونية أو تفسير للقوانين,<strong>لسنا مستشارين ماليين:</strong> لا نقدم استشارات استثمارية أو تخطيط مالي,<strong>لسنا مدققين:</strong> لا نقوم بإجراء تدقيقات مالية أو خدمات تصديق"
"disclaimerPage.sections.serviceDefinition.whatWeAreNot.title","❌ What We Are NOT","❌ ما لسنا عليه"
"disclaimerPage.sections.serviceDefinition.whatWeProvide.points","<strong>Software Tools:</strong> Technology for recording financial transactions,<strong>Data Organization:</strong> Systems to structure and categorize your business data,<strong>Report Generation:</strong> Automated creation of financial reports from your data,<strong>Calculations:</strong> Mathematical computations based on programmed formulas,<strong>Cloud Storage:</strong> Secure storage and backup of your data,<strong>Features:</strong> Invoicing, expense tracking, banking, inventory management","<strong>أدوات برمجية:</strong> تقنية لتسجيل المعاملات المالية,<strong>تنظيم البيانات:</strong> أنظمة لهيكلة وتصنيف بيانات عملك,<strong>إنشاء التقارير:</strong> إنشاء تلقائي للتقارير المالية من بياناتك,<strong>الحسابات:</strong> حسابات رياضية بناءً على صيغ مبرمجة,<strong>التخزين السحابي:</strong> تخزين آمن ونسخ احتياطي لبياناتك,<strong>الميزات:</strong> الفواتير، تتبع المصروفات، البنوك، إدارة المخزون"
"disclaimerPage.sections.serviceDefinition.whatWeProvide.title","✓ What We Provide","✓ ما نقدمه"
"disclaimerPage.sections.termination.byTibrCode.content","TibrCode may suspend or terminate your access to the Software immediately, without notice, if you breach these Terms, engage in prohibited activities, or for any other reason at TibrCode's sole discretion.","يجوز لـ TibrCode تعليق أو إنهاء وصولك إلى البرنامج فوراً، دون إشعار، إذا انتهكت هذه الشروط أو انخرطت في أنشطة محظورة أو لأي سبب آخر وفقاً لتقدير TibrCode الخاص."
"disclaimerPage.sections.termination.byTibrCode.title","8.2 By TibrCode:","8.2 من قبل TibrCode:"
"disclaimerPage.sections.termination.byYou.content","You may terminate your use of the Software at any time by ceasing all use and deleting your account.","يمكنك إنهاء استخدامك للبرنامج في أي وقت بالتوقف عن جميع الاستخدامات وحذف حسابك."
"disclaimerPage.sections.termination.byYou.title","8.1 By You:","8.1 من قبلك:"
"disclaimerPage.sections.termination.effect.content","Upon termination, your right to use the Software ceases immediately. Sections relating to intellectual property, disclaimers, limitation of liability, and dispute resolution survive termination.","عند الإنهاء، يتوقف حقك في استخدام البرنامج فوراً. تظل الأقسام المتعلقة بالملكية الفكرية وإخلاءات المسؤولية وتحديد المسؤولية وحل النزاعات سارية بعد الإنهاء."
"disclaimerPage.sections.termination.effect.title","8.3 Effect of Termination:","8.3 أثر الإنهاء:"
"disclaimerPage.sections.termination.title","8. Termination","8. الإنهاء"
"disclaimerPage.sections.userResponsibilities.businessDecisions.text","Making informed business decisions based on professional advice and your own analysis, not solely on software outputs.","اتخاذ قرارات أعمال مستنيرة بناءً على المشورة المهنية وتحليلك الخاص، وليس فقط على مخرجات البرنامج."
"disclaimerPage.sections.userResponsibilities.businessDecisions.title","4.5 Business Decisions","4.5 قرارات الأعمال"
"disclaimerPage.sections.userResponsibilities.dataAccuracy.text","Ensuring all data entered into the software is accurate, complete, and up-to-date. The software cannot verify the correctness of your inputs.","ضمان أن جميع البيانات المدخلة في البرنامج دقيقة وكاملة ومحدثة. البرنامج لا يمكنه التحقق من صحة مدخلاتك."
"disclaimerPage.sections.userResponsibilities.dataAccuracy.title","4.1 Data Accuracy","4.1 دقة البيانات"
"disclaimerPage.sections.userResponsibilities.intro","As a user of Log & Ledger Pro, YOU are responsible for:","كمستخدم لـ Log & Ledger Pro، أنت مسؤول عن:"
"disclaimerPage.sections.userResponsibilities.legalCompliance.points","• Tax filing deadlines and requirements,• Financial reporting standards,• Data protection and privacy laws,• Industry-specific regulations,• Anti-money laundering (AML) compliance,• Know Your Customer (KYC) obligations","• مواعيد ومتطلبات تقديم الضرائب,• معايير التقارير المالية,• قوانين حماية البيانات والخصوصية,• اللوائح الخاصة بالصناعة,• الامتثال لمكافحة غسل الأموال (AML),• التزامات اعرف عميلك (KYC)"
"disclaimerPage.sections.userResponsibilities.legalCompliance.text","Ensuring compliance with all applicable laws, regulations, accounting standards, tax codes, and reporting requirements in your jurisdiction. This includes but is not limited to:","ضمان الامتثال لجميع القوانين واللوائح ومعايير المحاسبة وقوانين الضرائب ومتطلبات التقارير المعمول بها في منطقتك القضائية. يشمل ذلك على سبيل المثال لا الحصر:"
"disclaimerPage.sections.userResponsibilities.legalCompliance.title","4.4 Legal and Regulatory Compliance","4.4 الامتثال القانوني والتنظيمي"
"disclaimerPage.sections.userResponsibilities.professionalConsultation.points","• Accounting methods and standards (GAAP, IFRS),• Tax planning, preparation, and filing,• Compliance with local, national, and international regulations,• Financial audits and attestation services,• Legal interpretation and contracts,• Complex transactions or business structures","• طرق ومعايير المحاسبة (GAAP، IFRS),• التخطيط والإعداد والتقديم الضريبي,• الامتثال للوائح المحلية والوطنية والدولية,• التدقيقات المالية وخدمات التصديق,• التفسير القانوني والعقود,• المعاملات المعقدة أو هياكل الأعمال"
"disclaimerPage.sections.userResponsibilities.professionalConsultation.text","Consulting with qualified, licensed professionals (accountants, CPAs, tax advisors, lawyers, auditors) for:","التشاور مع متخصصين مؤهلين ومرخصين (محاسبين، محاسبين قانونيين، مستشاري ضرائب، محامين، مدققين) من أجل:"
"disclaimerPage.sections.userResponsibilities.professionalConsultation.title","4.2 Professional Consultation","4.2 الاستشارة المهنية"
"disclaimerPage.sections.userResponsibilities.title","4. User Responsibilities","4. مسؤوليات المستخدم"
"disclaimerPage.sections.userResponsibilities.verificationOfOutputs.text","Reviewing and verifying all reports, calculations, and outputs before relying on them for business decisions, tax filings, financial reporting, or regulatory compliance.","مراجعة والتحقق من جميع التقارير والحسابات والمخرجات قبل الاعتماد عليها في قرارات الأعمال أو الإقرارات الضريبية أو التقارير المالية أو الامتثال التنظيمي."
"disclaimerPage.sections.userResponsibilities.verificationOfOutputs.title","4.3 Verification of Outputs","4.3 التحقق من المخرجات"
"disclaimerPage.sections.warranties.disclaimer","THE SOFTWARE IS PROVIDED ""AS IS"" AND ""AS AVAILABLE"" WITHOUT WARRANTIES OF ANY KIND, WHETHER EXPRESS OR IMPLIED, INCLUDING BUT NOT LIMITED TO IMPLIED WARRANTIES OF MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, NON-INFRINGEMENT, ACCURACY, OR RELIABILITY.","يتم توفير البرنامج 'كما هو' و 'كما هو متاح' بدون ضمانات من أي نوع، سواء كانت صريحة أو ضمنية، بما في ذلك على سبيل المثال لا الحصر الضمانات الضمنية للتسويق والملاءمة لغرض معين وعدم الانتهاك والدقة أو الموثوقية."
"disclaimerPage.sections.warranties.noWarranties.intro","TibrCode does not warrant that:","لا تضمن TibrCode أن:"
"disclaimerPage.sections.warranties.noWarranties.items","The Software will meet your specific requirements or expectations,The Software will be uninterrupted, timely, secure, or error-free,The results obtained from the Software will be accurate, complete, or reliable,All errors or defects will be corrected,The Software complies with all laws and regulations in your jurisdiction","سيلبي البرنامج متطلباتك أو توقعاتك المحددة,سيكون البرنامج غير منقطع أو في الوقت المناسب أو آمن أو خالٍ من الأخطاء,ستكون النتائج التي يتم الحصول عليها من البرنامج دقيقة أو كاملة أو موثوقة,سيتم تصحيح جميع الأخطاء أو العيوب,يتوافق البرنامج مع جميع القوانين واللوائح في منطقتك القضائية"
"disclaimerPage.sections.warranties.title","6. Warranties and Disclaimer","6. الضمانات وإخلاء المسؤولية"
"disclaimerPage.security","","الأمان"
"disclaimerPage.securityText","","بينما نتخذ تدابير أمنية معقولة، لا يمكن لأي نظام أن يضمن الأمان المطلق. أنت مسؤول عن الحفاظ على أمان بيانات اعتماد حسابك."
"disclaimerPage.serviceAvailability","","توفر الخدمة"
"disclaimerPage.serviceAvailabilityText","","نحتفظ بالحق في تعديل أو إيقاف الخدمة في أي وقت دون إشعار مسبق."
"disclaimerPage.severability","","قابلية الفصل"
"disclaimerPage.severabilityText","","إذا تبين أن أي حكم في إخلاء المسؤولية هذا غير قابل للتنفيذ، فإن الأحكام المتبقية ستظل سارية المفعول."
"disclaimerPage.taxCompliance","","الامتثال الضريبي"
"disclaimerPage.taxComplianceText","","هذا التطبيق ليس بديلاً عن المشورة الضريبية المهنية. القوانين الضريبية تختلف حسب الولاية القضائية ويمكن أن تتغير. استشر متخصصاً في الضرائب للحصول على إرشادات محددة."
"disclaimerPage.thirdPartyLinks","","روابط الطرف الثالث"
"disclaimerPage.thirdPartyLinksText","","قد يحتوي هذا التطبيق على روابط لمواقع ويب خارجية. نحن لا نتحمل أي مسؤولية عن محتوى أو ممارسات الخصوصية لهذه المواقع."
"disclaimerPage.title","Disclaimer","إخلاء المسؤولية"
"disclaimerPage.userResponsibility","","مسؤولية المستخدم"
"disclaimerPage.userResponsibilityText","","أنت مسؤول عن التحقق من دقة جميع الحسابات والتقارير التي ينشئها هذا التطبيق. نوصي بشدة بمراجعة سجلاتك المالية من قبل محاسب مؤهل."
"errors.somethingWentWrong","Something went wrong","حدث خطأ ما"
"errors.unexpectedError","An unexpected error occurred. Please try refreshing the page.","حدث خطأ غير متوقع. يرجى تحديث الصفحة."
"examples.acmeCorporation","","شركة أكمي"
"examples.consultingServices","","خدمات استشارية"
"examples.defectiveItems","","عناصر معيبة"
"examples.emilyDavis","","إيميلي ديفيس"
"examples.financialModulesAccess","","الوصول إلى الوحدات المالية"
"examples.fullSystemAccess","","وصول كامل للنظام"
"examples.globalTechLtd","","جلوبال تك المحدودة"
"examples.johnSmith","","جون سميث"
"examples.michaelChen","","مايكل تشين"
"examples.officeDepot","","أوفيس ديبوت"
"examples.officeEquipmentCo","","شركة معدات المكاتب"
"examples.priceAdjustment","","تعديل السعر"
"examples.purchaseManager","","مدير مشتريات"
"examples.quarterlyConsulting","","استشارات ربع سنوية"
"examples.robertWilson","","روبرت ويلسون"
"examples.salesManager","","مدير مبيعات"
"examples.sarahJohnson","","سارة جونسون"
"examples.softwareSolutionsLtd","","سوفت وير سوليوشنز المحدودة"
"examples.startupInnovations","","ابتكارات الشركات الناشئة"
"examples.techCorpSolutions","","تك كورب سوليوشنز"
"examples.techSuppliersInc","","تك سبلايرز المحدودة"
"expenseCategories.Entertainment","","ترفيه"
"expenseCategories.Marketing","","تسويق"
"expenseCategories.Office Supplies","","لوازم مكتبية"
"expenseCategories.Travel","","سفر"
"expenseCategories.Utilities","","مرافق"
"fixedAssets.accumulatedDepreciationAccount","","حساب مجمع الإهلاك"
"fixedAssets.acquired","","مستحوذ عليه"
"fixedAssets.acquisitionCost","","تكلفة الاستحواذ"
"fixedAssets.acquisitionDate","","تاريخ الاستحواذ"
"fixedAssets.assetAccount","","حساب الأصل"
"fixedAssets.assetCode","","رمز الأصل"
"fixedAssets.assetCreated","","تم إنشاء الأصل بنجاح"
"fixedAssets.assetName","","اسم الأصل"
"fixedAssets.assetNamePlaceholder","","حاسوب المكتب"
"fixedAssets.assetRegistry","","سجل الأصول"
"fixedAssets.bookValue","","القيمة الدفترية"
"fixedAssets.calculateDescription","","احسب الإهلاك"
"fixedAssets.copyId","","نسخ المعرف"
"fixedAssets.createAsset","","إنشاء أصل"
"fixedAssets.decliningBalance","","القسط المتناقص"
"fixedAssets.depreciationDate","","تاريخ الإهلاك"
"fixedAssets.depreciationExpenseAccount","","حساب مصروف الإهلاك"
"fixedAssets.depreciationHistory","","سجل الإهلاك"
"fixedAssets.depreciationMethod","","طريقة الإهلاك"
"fixedAssets.depreciationPosted","","تم ترحيل الإهلاك"
"fixedAssets.disposed","","مستبعد"
"fixedAssets.enterDetails","","أدخل التفاصيل"
"fixedAssets.journalEntry","","قيد يومية"
"fixedAssets.newAsset","","أصل جديد"
"fixedAssets.noHistory","","لا يوجد سجل إهلاك"
"fixedAssets.postDepreciation","","ترحيل الإهلاك"
"fixedAssets.posting","","جارٍ الترحيل..."
"fixedAssets.registerAsset","","تسجيل أصل جديد"
"fixedAssets.salvageValue","","القيمة التخريدية"
"fixedAssets.selectAssetAccount","","اختر حساب الأصل"
"fixedAssets.selectContraAccount","","اختر حساب الإهلاك المتراكم"
"fixedAssets.selectExpenseAccount","","اختر حساب المصروف"
"fixedAssets.straightLine","","القسط الثابت"
"fixedAssets.title","","الأصول الثابتة"
"fixedAssets.usefulLife","","العمر الإنتاجي"
"fixedAssets.usefulLifeYears","","العمر الإنتاجي (سنوات)"
"fixedAssets.viewHistory","","عرض السجل"
"footer.copyright","© {{year}} Log & Ledger","© {{year}} Log & Ledger"
"footer.disclaimer","Disclaimer","إخلاء المسؤولية"
"footer.privacy","Privacy","الخصوصية"
"footer.terms","Terms","الشروط"
"form.labels.Active Status","","الحالة النشطة"
"form.labels.Barcode","","الباركود"
"form.labels.Category","","الفئة"
"form.labels.Contact Code *","","رمز جهة الاتصال *"
"form.labels.Contact Name *","","اسم جهة الاتصال *"
"form.labels.Contact Type *","","نوع جهة الاتصال *"
"form.labels.Credit Limit","","حد الائتمان"
"form.labels.Currency *","","العملة *"
"form.labels.Display Name","","الاسم المعروض"
"form.labels.Email Address","","البريد الإلكتروني"
"form.labels.Expense Account","","حساب المصروفات"
"form.labels.Income Account","","حساب الإيرادات"
"form.labels.Inventory Account","","حساب المخزون"
"form.labels.Item Code *","","رمز الصنف *"
"form.labels.Item Name *","","اسم الصنف *"
"form.labels.Item Type *","","نوع الصنف *"
"form.labels.Opening Stock","","المخزون الافتتاحي"
"form.labels.Payment Terms (Days)","","شروط الدفع (أيام)"
"form.labels.Phone Number","","رقم الهاتف"
"form.labels.Preferred Vendor","","المورد المفضل"
"form.labels.Purchase Price","","سعر الشراء"
"form.labels.Purchase Tax","","ضريبة الشراء"
"form.labels.Registration Number","","رقم السجل التجاري"
"form.labels.Reorder Point","","نقطة إعادة الطلب"
"form.labels.SKU","","رمز SKU"
"form.labels.Sales Price","","سعر البيع"
"form.labels.Sales Tax","","ضريبة المبيعات"
"form.labels.Tax Number","","الرقم الضريبي"
"form.labels.Unit of Measure","","وحدة القياس"
"form.labels.Website","","الموقع الإلكتروني"
"form.sections.Account Configuration","","إعدادات الحساب"
"form.sections.Basic Information","","المعلومات الأساسية"
"form.sections.Business Details","","التفاصيل التجارية"
"form.sections.Contact Information","","معلومات الاتصال"
"form.sections.Financial Information","","المعلومات المالية"
"form.sections.Pricing & Inventory","","التسعير والمخزون"
"form.sections.Tax Settings","","إعدادات الضريبة"
"formLabels.accountCode","","رمز الحساب"
"formLabels.accountName","","اسم الحساب"
"formLabels.accountSubtype","","النوع الفرعي للحساب"
"formLabels.accountType","","نوع الحساب"
"formLabels.activeAccount","","حساب نشط"
"formLabels.activeItem","","منتج نشط"
"formLabels.barcode","","الباركود"
"formLabels.category","","الفئة"
"formLabels.defaultTax","","الضريبة الافتراضية"
"formLabels.description","","الوصف"
"formLabels.inventoryAccount","","حساب المخزون"
"formLabels.itemCode","","رمز المنتج *"
"formLabels.itemName","","اسم المنتج *"
"formLabels.minimumStock","","الحد الأدنى للمخزون"
"formLabels.parentAccount","","الحساب الأب"
"formLabels.purchasable","","قابل للشراء"
"formLabels.purchaseAccount","","حساب المشتريات"
"formLabels.purchasePrice","","سعر الشراء"
"formLabels.reorderLevel","","مستوى إعادة الطلب"
"formLabels.salePrice","","سعر البيع"
"formLabels.salesAccount","","حساب المبيعات"
"formLabels.sellable","","قابل للبيع"
"formLabels.stockQuantity","","الكمية الحالية"
"formLabels.systemAccount","","حساب نظام"
"formLabels.trackInventory","","تتبع المخزون"
"formLabels.type","","النوع"
"formLabels.unit","","وحدة القياس *"
"formPlaceholders.accountCode","","مثل: 1000"
"formPlaceholders.accountName","","مثل: حساب النقدية"
"formPlaceholders.activeItemDesc","","يمكن استخدام الحسابات النشطة في المعاملات"
"formPlaceholders.barcode","","1234567890123"
"formPlaceholders.description","","وصف الحساب (اختياري)"
"formPlaceholders.itemCode","","ITEM001"
"formPlaceholders.itemName","","اسم المنتج أو الخدمة"
"formPlaceholders.minimumStock","","10"
"formPlaceholders.purchasableDesc","","تمكين شراء هذا المنتج من الموردين"
"formPlaceholders.purchasePrice","","0.00"
"formPlaceholders.reorderLevel","","20"
"formPlaceholders.salePrice","","0.00"
"formPlaceholders.selectAccount","","اختر الحساب"
"formPlaceholders.selectAccountType","","اختر نوع الحساب"
"formPlaceholders.selectCategory","","اختر الفئة"
"formPlaceholders.selectParentAccount","","اختر الحساب الأب (اختياري)"
"formPlaceholders.selectSubtype","","اختر النوع الفرعي"
"formPlaceholders.selectTax","","اختر الضريبة"
"formPlaceholders.selectType","","اختر النوع"
"formPlaceholders.selectUnit","","اختر الوحدة"
"formPlaceholders.sellableDesc","","تمكين بيع هذا المنتج للعملاء"
"formPlaceholders.stockQuantity","","0"
"formPlaceholders.systemAccountDesc","","الحسابات النظامية لا يمكن تعديلها أو حذفها"
"formPlaceholders.trackInventoryDesc","","تتبع مستويات المخزون لهذا المنتج"
"formSections.accounting","","الحسابات"
"formSections.additionalSettings","","إعدادات إضافية"
"formSections.basicDetails","","التفاصيل الأساسية"
"formSections.inventory","","المخزون"
"formSections.itemType","","نوع المنتج"
"formSections.pricing","","التسعير"
"formats.date.DD-MM-YYYY","DD-MM-YYYY","يوم-شهر-سنة"
"formats.date.DD/MM/YYYY","DD/MM/YYYY","يوم/شهر/سنة"
"formats.date.MM-DD-YYYY","MM-DD-YYYY","شهر-يوم-سنة"
"formats.date.MM/DD/YYYY","MM/DD/YYYY","شهر/يوم/سنة"
"formats.date.YYYY-MM-DD","YYYY-MM-DD","سنة-شهر-يوم"
"formats.date.YYYY/MM/DD","YYYY/MM/DD","سنة/شهر/يوم"
"formats.date.label","label","صيغة التاريخ"
"formats.dateFormat","Date Format","تنسيق التاريخ"
"formats.eu","European","أوروبي"
"formats.february","February","فبراير"
"formats.fr","French","فرنسي"
"formats.number.arabic","arabic","١٬٢٣٤٫٥٦"
"formats.number.comma_dot","comma_dot","1,234.56"
"formats.number.dot_comma","dot_comma","1.234,56"
"formats.number.label","label","صيغة الأرقام"
"formats.number.space_comma","space_comma","1 234,56"
"formats.numberFormat","Number Format","تنسيق الأرقام"
"formats.selectDateFormat","Select Date Format","اختر تنسيق التاريخ"
"formats.selectNumberFormat","Select Number Format","اختر تنسيق الأرقام"
"formats.us","US","أمريكي"
"forms.active","Active","نشط"
"forms.addItem","Add Item","إضافة بند"
"forms.addNewTaxRate","Add New Tax Rate","إضافة معدل ضريبة جديد"
"forms.amount","Amount","المبلغ"
"forms.baseCurrency","Base Currency","العملة الأساسية"
"forms.cancel","Cancel","إلغاء"
"forms.company","Company","شركة"
"forms.companyName","Company Name","اسم الشركة"
"forms.companyNamePlaceholder","Enter company name","أدخل اسم الشركة"
"forms.create","Create","إنشاء"
"forms.createInvoice","Create Invoice","إنشاء فاتورة"
"forms.createInvoiceDesc","Create a new invoice for your customer","إنشاء فاتورة جديدة لعميلك"
"forms.createInvoiceDescMobile","Create Invoice","إنشاء فاتورة جديدة"
"forms.currency","Currency","العملة"
"forms.customer","Customer","العميل"
"forms.customerDetails","Customer Details","تفاصيل العميل"
"forms.dateFormat","dateFormat","صيغة التاريخ"
"forms.delete","Delete","حذف"
"forms.description","Description","الوصف"
"forms.dueDate","Due Date","تاريخ الاستحقاق"
"forms.edit","Edit","تعديل"
"forms.editTaxRate","Edit Tax Rate","تعديل معدل الضريبة"
"forms.exchangeRate","Exchange Rate","سعر الصرف"
"forms.fiscalYear","Fiscal Year","السنة المالية"
"forms.fiscalYearStart","Fiscal Year Start","بداية السنة المالية"
"forms.invoiceDate","Invoice Date","تاريخ الفاتورة"
"forms.invoiceDetails","Invoice Details","تفاصيل الفاتورة"
"forms.invoiceNumber","Invoice Number","رقم الفاتورة"
"forms.itemDescriptionPlaceholder","Enter item description","وصف البند"
"forms.itemLabel","Item {{index}}","بند #{{index}}"
"forms.legalName","Legal Name","الاسم القانوني"
"forms.legalNamePlaceholder","Full legal name of company","الاسم القانوني الكامل للشركة"
"forms.lineItems","Line Items","بنود الفاتورة"
"forms.noItems","No items","لم يتم إضافة بنود بعد"
"forms.noTax","No Tax","بدون ضريبة"
"forms.none","None","لا يوجد"
"forms.notesAndTerms","Notes & Terms","ملاحظات وشروط"
"forms.notesPlaceholder","Add any additional notes or terms...","أضف أي ملاحظات أو شروط إضافية..."
"forms.numberFormat","numberFormat","صيغة الأرقام"
"forms.project","Project","المشروع"
"forms.quantity","Quantity","الكمية"
"forms.rate","Rate","السعر"
"forms.registrationNumber","Registration Number","رقم التسجيل"
"forms.registrationNumberPlaceholder","registrationNumberPlaceholder","REG-2024-001"
"forms.saveDraft","Save Draft","حفظ مسودة"
"forms.scannedItem","Scanned Item","بند ممسوح ضوئياً"
"forms.selectCurrency","Select Currency","اختر العملة"
"forms.selectCustomer","Select a customer","اختر عميلاً"
"forms.selectDateFormat","selectDateFormat","اختر صيغة التاريخ"
"forms.selectFiscalYear","selectFiscalYear","اختر الشهر"
"forms.selectMonth","Select Month","اختر الشهر"
"forms.selectNumberFormat","selectNumberFormat","اختر صيغة الأرقام"
"forms.selectProject","Select Project","اختر المشروع"
"forms.sendInvoice","Send Invoice","إرسال الفاتورة"
"forms.subtotal","Subtotal:","المجموع الفرعي:"
"forms.tax","Tax","الضريبة"
"forms.taxCode","Tax Code","رمز الضريبة"
"forms.taxName","Tax Name","اسم الضريبة"
"forms.taxNumber","Tax Number","الرقم الضريبي"
"forms.taxNumberPlaceholder","taxNumberPlaceholder","123456789"
"forms.taxRate","Tax Rate","معدل الضريبة"
"forms.taxType","Tax Type","نوع الضريبة"
"forms.total","Total:","الإجمالي:"
"forms.update","Update","تحديث"
"forms.validationError","validationError","يرجى التحقق من البيانات المدخلة"
"hr.addDepartment","Add Department","إضافة قسم"
"hr.addEmployee","Add Employee","إضافة موظف"
"hr.allowances","Allowances","البدلات"
"hr.basic","Basic","الأساسي"
"hr.contact","Contact","التواصل"
"hr.deductions","Deductions","الخصومات"
"hr.department","Department","القسم"
"hr.departmentCreateSuccess","Department created successfully","تم إنشاء القسم بنجاح"
"hr.departmentName","Department Name","اسم القسم"
"hr.departmentUpdateSuccess","Department updated successfully","تم تحديث القسم بنجاح"
"hr.departments","Departments","الأقسام"
"hr.editDepartment","Edit Department","تعديل القسم"
"hr.editEmployee","Edit Employee","تعديل الموظف"
"hr.employee","Employee","الموظف"
"hr.employeeCreateSuccess","Employee created successfully","تم إنشاء الموظف بنجاح"
"hr.employeeUpdateSuccess","Employee updated successfully","تم تحديث الموظف بنجاح"
"hr.employees","Employees","الموظفون"
"hr.firstName","First Name","الاسم الأول"
"hr.generate","Generate","إنشاء"
"hr.hireDate","Hire Date","تاريخ التعيين"
"hr.history","Run History","سجل التشغيل"
"hr.jobTitle","Job Title","المسمى الوظيفي"
"hr.lastName","Last Name","اسم العائلة"
"hr.name","Name","الاسم"
"hr.net","Net Salary","صافي الراتب"
"hr.newPayrollRun","New Payroll Run","تشغيل رواتب جديد"
"hr.noDepartments","No departments found","لم يتم العثور على أقسام"
"hr.noEmployees","No employees found","لم يتم العثور على موظفين"
"hr.noRuns","No payroll runs","لا توجد تشغيلات رواتب"
"hr.paymentDate","Payment Date","تاريخ الدفع"
"hr.payroll","Payroll Management","إدارة الرواتب"
"hr.payrollRunSuccess","Payroll run generated successfully","تم إنشاء تشغيل الرواتب بنجاح"
"hr.payslips","Payslips Details","تفاصيل كشوف الرواتب"
"hr.periodEnd","Period End","نهاية الفترة"
"hr.periodStart","Period Start","بداية الفترة"
"hr.role","Role","الدور"
"hr.salary","Salary","الراتب"
"hr.selectRun","Select a run to view details","اختر تشغيل لعرض التفاصيل"
"hr.selectRunPrompt","Select a payroll run from the list to view generated payslips","اختر تشغيل رواتب من القائمة لعرض كشوف الرواتب المنشأة"
"hr.title","","الموارد البشرية"
"info.balance","","الرصيد"
"info.credit","","دائن"
"info.debit","","مدين"
"info.price","","السعر"
"info.purchases","","المشتريات"
"info.sales","","المبيعات"
"info.stock","","المخزون"
"info.transactions","","العمليات"
"inventory.addBill","","إضافة فاتورة"
"inventory.addBillsDescription","","أضف الفواتير التي تمثل التكاليف الإضافية."
"inventory.addFreightBill","","إضافة فاتورة شحن/جمارك"
"inventory.addItem","Add Item","إضافة صنف"
"inventory.addItems","","إضافة بنود"
"inventory.addingItem","Adding...","جاري الإضافة..."
"inventory.adjustment","Adjustment","تسوية"
"inventory.adjustmentDate","","تاريخ التعديل"
"inventory.adjustmentReason","","سبب التعديل"
"inventory.adjustmentType","","نوع التعديل"
"inventory.adjustments.addAdjustment","New Adjustment","تعديل جديد"
"inventory.adjustments.created","Adjustment created","تم إنشاء التعديل"
"inventory.adjustments.createdDesc","Stock adjustment has been created successfully.","تم إنشاء تعديل المخزون بنجاح."
"inventory.adjustments.date","Date","التاريخ"
"inventory.adjustments.decrease","Decrease","نقصان"
"inventory.adjustments.deleteConfirm","Are you sure you want to delete this adjustment?","هل أنت متأكد من حذف هذا التعديل؟"
"inventory.adjustments.deleted","Adjustment deleted","تم حذف التعديل"
"inventory.adjustments.deletedDesc","Stock adjustment has been deleted successfully.","تم حذف تعديل المخزون بنجاح."
"inventory.adjustments.description","Manage inventory stock adjustments","إدارة تعديلات مخزون المنتجات"
"inventory.adjustments.details","Adjustment Details","تفاصيل التعديل"
"inventory.adjustments.editAdjustment","Edit Adjustment","تعديل السجل"
"inventory.adjustments.increase","Increase","زيادة"
"inventory.adjustments.item","Item","الصنف"
"inventory.adjustments.items","Items","البنود"
"inventory.adjustments.notes","Notes","ملاحظات"
"inventory.adjustments.quantity","Quantity","الكمية"
"inventory.adjustments.reason","Reason","السبب"
"inventory.adjustments.reference","Reference","المرجع"
"inventory.adjustments.selectItem","Select Item","اختر الصنف"
"inventory.adjustments.selectType","Select Type","اختر النوع"
"inventory.adjustments.selectWarehouse","Select Warehouse","اختر المستودع"
"inventory.adjustments.status","Status","الحالة"
"inventory.adjustments.title","Stock Adjustments","تعديلات المخزون"
"inventory.adjustments.type","Type","النوع"
"inventory.adjustments.updated","Adjustment updated","تم تحديث التعديل"
"inventory.adjustments.updatedDesc","Stock adjustment has been updated successfully.","تم تحديث تعديل المخزون بنجاح."
"inventory.adjustments.warehouse","Warehouse","المستودع"
"inventory.allocated","","تم التوزيع"
"inventory.allocationMethod","","طريقة التوزيع"
"inventory.approveAndTransfer","","موافقة وتحويل"
"inventory.approveTransferDescription","","سيتم نقل المخزون فوراً من {{from}} إلى {{to}}. لا يمكن التراجع عن هذا الإجراء."
"inventory.approveTransferTitle","","الموافقة على التحويل؟"
"inventory.batchNumber","","رقم الدفعة (اختياري)"
"inventory.byQuantity","","حسب الكمية"
"inventory.byValue","","حسب القيمة"
"inventory.byWeight","","حسب الوزن"
"inventory.changeMethod","Change Method","تغيير الطريقة"
